ID,level,symbol,main,sub,all,category_circulator,category_refrigerator,category_cleaner,category_laundry,category_others,spec_wifi,spec_grounding,spec_rechargeable,spec_ac_cord,spec_ac_adaptor,spec_water,spec_remocon,spec_heavy_load,note,reference
s045,caution,prohibition,熱いものは入れない,熱いものは、必ず冷めてから入れてください。棚は、急冷・急熱すると割れることがあります。,,,1,,,,,,,,,,,,,
s046,caution,prohibition,医薬品・美術品・学術資料の保存など、業務用・特殊用途に使用しない,保存品の劣化の原因になります。<br>家庭用冷蔵庫では、温度管理の厳しいものは保存できません。,,,1,,,,,,,,,,,,,
s047,caution,prohibition,勢いよくドアを開閉しない,転倒したり、指をはさんだりして、けがの原因になります。<br>また、保存物が破損したり、落下したり、飛散したりするおそれがあります。,,,1,,,,,,,,,,,,,
s048,caution,prohibition,他の人がさわっているときは、ドアの開閉をしない,,,,1,,,,,,,,,,,,,
s049,caution,prohibition,ドア回転の支点部分に触れない,指などをはさんでけがをするおそれがあります。,,,1,,,,,,,,,,,,,
s050,caution,prohibition,食品を棚やトレイの前端より前に出さない,,,,1,,,,,,,,,,,,棚・トレイは機種依存,
s051,caution,prohibition,ドアポケットに収まらないものを無理に入れない,引っかかって落下し、破損やけがの原因になります。,,,1,,,,,,,,,,,,ドアポケットは機種依存,
s052,caution,prohibition,冷蔵庫の上に物を置かない,落下して、けがの原因になります。,,,1,,,,,,,,,,,,,
s053,danger,execution,電解液が目に入ったときは、すぐにきれいな水で洗う,目に傷害が発生するおそれがあります。<br>洗った後、直ちに医師の診察を受けてください。,,,,,,,,,1,,,,,,「バッテリーについての注意」を冒頭に記載,
s054,danger,unique01,バッテリーを分解しない,発熱・破裂により、火災やけがの原因になります。,,,,,,,,,1,,,,,,,
s055,danger,prohibition,内蔵以外のバッテリーは使用しない<br>指定以外の方法で充電しない<br>高温になる場所・直射日光の当たる場所で充電しない<br>本製品を火に投げ入れたり、加熱したりしない<br>本製品を高いところから落としたり、投げつけたり、釘をさしたり、ハンマーでたたいたり、踏みつけたりしない<br>本製品を水につけない,発熱・破裂・液もれにより、火災やけが、周囲を汚損する原因になります。,,,,,,,,,1,,,,,,,
s056,warning,prohibition,スプレーをかけたり、吸わせたりしない（殺虫剤、整髪料、潤滑油など）<br>引火性のもの（灯油・ガソリン・シンナー・コピーのトナーなど）、可燃性のものを吸わせない<br>油煙や湯気を吸わせない<br>カーペット用洗浄剤など、泡状・液状のものを吸わせない<br>可燃性のものや火のついたたばこ・線香などを近づけない,吸い込むと火災の原因になります。,,,,1,,,,,,,,,,,,
s057,warning,execution,充電アダプターのプラグのほこりは定期的に取る,ほこりがたまると、湿気などで絶縁不良になり、火災・感電の原因になります。,,,,,,,,,1,,,,,,「充電アダプターは正しく使う」を冒頭に記載,
s058,warning,execution,充電アダプターのプラグはコンセントの奥まで確実に差し込む,ショートによる火災・感電の原因になります。,,,,,,,,,1,,,,,,,
s059,warning,unique02,ぬれた手で充電アダプターの抜き差しをしない,感電・やけど・けがの原因になります。,,,,,,,,,1,,,,,,,
s060,warning,prohibition,充電アダプターが傷んだり、コンセントの差し込みがゆるいときは使わない,ショートによる火災・感電の原因になります。,,,,,,,,,1,,,,,,,
s061,warning,prohibition,交流100V以外では使わない,火災・感電の原因になります。,,,,,,,,,1,,,,,,,
s062,warning,prohibition,乳幼児に充電アダプターを触れさせない,感電・けがの原因になります。,,,,,,,,,1,,,,,,,
s063,warning,unique06,雨の中や水回り、風呂場などぬれるおそれのある場所では絶対に使用しない<br>本体や充電アダプターを水につけたり、水をかけたりしない,火災・感電の原因になります。,,,,,,,,,1,,,,,,,
s064,warning,execution,電解液がもれたり、異臭がするときは、直ちに火気から遠ざける,引火するおそれがあります。,,,,,,,,,1,,,,,,「バッテリーについての注意」を冒頭に記載,
s065,warning,execution,電解液が皮膚や衣服についたときは、すぐに洗い流す,皮膚炎や衣服の損傷の原因になります。,,,,,,,,,1,,,,,,,
s066,warning,prohibition,電解液がもれたり、異臭がするときは、使用しない,発熱・発火・周囲の汚損の原因になります。,,,,,,,,,1,,,,,,,
s067,caution,prohibition,掃除以外の用途に使用しない,異常動作・火災の原因になります。,,,,,,,,,,,,,,,,
s068,caution,prohibition,業務など家庭用以外で使用しない,本製品は家庭用として設計されています。<br>業務など家庭用以外で使用すると、火災などの原因になります。,1,,,,,,,,,,,,,,家庭用指定文（全機種共通）,
s069,caution,prohibition,吸い込み口がふさがれたまま運転を続けない<br>排気口をふさがない,過熱による変形・故障・火災の原因になります。,,,,1,,,,,,,,,,,,
s070,caution,unique05,火気・暖房器具などに近づけない,吹き出す風で暖房器具の炎が大きくなり、火災などの原因になります。,,,,,,,,,,,,,,,,
s071,caution,prohibition,乗ったり、寄りかかったりしない<br>幼児の手の届く範囲では使用しない<br>子どもに遊ばせない,けがの原因になります。,1,,,,,,,,,,,,,,幼児使用注意,
s072,caution,prohibition,屋外では使用しない,故障してショートや火災の原因になります。,1,,,,,,,,,,,,,,幼児使用注意,
s073,caution,execution,屋内の涼しく乾燥した場所に保管する,,1,,,,,,,,,,,,,,,
s074,caution,unique00,充電アダプターを抜くときは、充電コードを持たずに必ず充電アダプター本体を持って引き抜く,充電コードが破損し、火災・感電の原因になります。,,,,,,,,,1,,,,,,,
s075,caution,unique00,使用後は、必ず充電アダプターをコンセントから抜く,火災・感電の原因になります。,,,,,,,,,1,,,,,,,
s076,caution,execution,使い捨てダストパックは純正品を使用する,当社純正品以外のダストパックを使用した場合、故障の原因になることがあります。また、ダストパックは正しく取り付けてください。,,,,1,,,,,,,,,,,ダストパック使用掃除機,
s077,caution,execution,破れた使い捨てダストパックは使わない,吸い込んだごみがまき散らされ、周囲の汚損や、健康を害する原因になります。,,,,1,,,,,,,,,,,ダストパック使用掃除機,
s078,caution,execution,破損しているときは使用しない,けがの原因になります。修理については修理専用コールへご連絡ください。,,,,1,,,,,,,,,,,ダストパック使用掃除機,
s079,caution,execution,運転中にダストパックを取り外さない,事故の原因になります。,,,,1,,,,,,,,,,,ダストパック使用掃除機,
s080,warning,prohibition,屋外では使用しない<br>風の流れをさえぎるようなものの周囲で使用しない<br>布や紙、ビニール袋などでおおったり、ふさいだりして運転しない<br>ほこり、粉じんの多い場所で使用しない,ショートによる火災・感電の原因になります。,,,1,,,,,,,,,,,,,
s081,warning,prohibition,スプレーをかけない（殺虫剤・整髪料・潤滑油など）<br>引火性のもの（灯油・ガソリン・シンナーなど）、火の気のあるもの（たばこ・線香など）、可燃性のもののそばで使わない,火災の原因になります。,,,1,,,,,,,,,,,,,
s082,warning,prohibition,風をストーブなどの燃焼器具に向けて使用しない,不完全燃焼や炎の飛散を引き起こし、一酸化炭素中毒や火災の原因になります。,,,1,,,,,,,,,,,,,
s083,warning,execution,リモコンの電池は、幼児の手の届かないところに置く,誤飲の原因になります。万一飲み込んだ場合は、すぐに医師にご相談ください。,,,,,,,,,,,,,1,,リモコン（電池式）対応機種,
s084,warning,execution,引きずって移動しない,畳や床に傷が付きます。,,1,,,,1,,,,,,,,,引きずり注意,
s085,caution,prohibition,長時間、風を直接体に当て続けない,健康を害するおそれがあります。,,1,,,,,,,,,,,,,,
s086,caution,prohibition,動植物に直接風を当てない,害を与えるおそれがあります。,,1,,,,,,,,,,,,,,
s087,caution,prohibition,本体に強い衝撃を与えない,故障して、火災・感電の原因になります。,,1,,,,,,,,,,,,,衝撃注意,
s088,caution,prohibition,羽根・前面ガード・背面ガードを取り付けずに運転しない,火災・感電・けがの原因になります。,,1,,,,,,,,,,,,,,
s089,caution,execution,水平で安定した床の上やテーブルの上で使用する,不安定な場所で使用すると転倒して、けがや周囲の物品の破損の原因になります。,,1,,,,,,,,,,,,,,
s090,caution,execution,カーテンや巻き上げひもなどを巻き込まない場所へ設置する,周囲の物品の破損やけがの原因になります。,,1,,,,,,,,,,,,,,
s091,caution,execution,電池を入れるときは、極性表示（プラス+とマイナス−の向き）に注意し、取扱説明書の通りに正しく入れる,間違えると、破裂・液もれにより、火災やけが、周囲を汚損する原因になります。,,,,,,,,,,,,,1,,,
s092,caution,execution,長期間使用しないときは電池を取り出しておく,液がもれて、火災やけが、周囲の汚損の原因になります。液がもれた場合は、電池ケースについた液をよく拭き取ってから、新しい電池を入れてください。万一、もれた液が体についたときは、水でよく洗い流してください。,,,,,,,,,,,,,1,,,
s093,caution,prohibition,電池を金属製の小物類と一緒に携帯・保管しない,ショートして液もれや破裂の原因になります。,,,,,,,,,,,,,1,,電池使用機種,
s094,caution,prohibition,指定以外の電池は使用しない<br>電池を絶対に充電しない,破裂・液もれにより、火災・けが・やけど、周囲を汚損する原因になります。,,,,,,,,,,,,,1,,電池使用機種,
s095,warning,prohibition,水まわり、浴室など湿気のある場所には絶対に据え付けない<br>ベランダ・庭など風雨にさらされる場所に据え付けない,火災の原因になります。,,,,,1,,,,,,,,,,,
s096,warning,unique04,回転中の洗濯・脱水槽に手などを入れない,ゆるい回転でも、洗濯物が巻きついて大けがの原因になります。回転が完全に止まるまでは洗濯物や洗濯・脱水槽に絶対に触れないでください。,,,,,1,,,,,,,,,,,
s097,warning,execution,ふたが破損したり、脱水中にふたを開けたときに洗濯・脱水槽が停止しないときは、直ちに使用を中止する,事故の原因になります。お買い上げの販売店またはアイリスコールへ修理を依頼してください。,,,,,1,,,,,,,,,,,
s098,warning,unique07,雷が鳴りだしたら、洗濯機やコンセントに触れない,感電のおそれがあります。,,,,,1,,,,,,,,,,感電注意,
s099,warning,prohibition,子どもに洗濯・脱水槽の中をのぞかせない<br>近くに子どもが乗りやすい台などを置かない<br>子どもや、補助が必要な人に1人で使わせない,洗濯・脱水槽に落ちて、けがをしたりおぼれたりする原因になります。,,,,,1,,,,,,,,,,幼児使用注意,
s100,warning,unique06,本体を水につけたり、本体に水をかけたりしない,漏電やショートを起こし、火災・感電の原因になります。,,,,,1,1,,,,,,,,,水濡れ注意,
s101,caution,prohibition,40℃以上のお湯を使用しない<br>給湯器につながない,プラスチック部分が変形・破損し、感電や漏電、水もれの原因になります。,,,,,1,,,,,,,,,,,
s102,caution,prohibition,上に乗ったり、寄りかかったりしない<br>重いものを載せない,転倒事故などの原因になります。,,,,,1,,,,,,,,,,,
s103,caution,prohibition,スプレーをかけない（殺虫剤、整髪料、潤滑油など）<br>引火性のもの（灯油・ガソリン・シンナーなど）、可燃性のものを入れない,火災の原因になります。,,,,,1,,,,,,,,,,,
s104,caution,unique05,可燃性のものや火のついたたばこ・線香などを入れたり近づけたりしない,火災の原因になります。,,,,,1,,,,,,,,,,,
s105,caution,prohibition,防水性のもの、水を通しにくいものは、洗濯・脱水しない,洗濯物の飛び出しや脱水時の異常振動により、けが・家財の損傷・洗濯物の損傷・水もれなどの原因になります。<br>風乾燥も使用しないでください。<br>防水性のもの・水を通しにくいもの<br>レインコート・サウナスーツ・ウェットスーツ・おむつカバー・寝袋・スキーウェア・自動車などのカバー・防水シートなど,,,,,1,,,,,,,,,,,
s106,caution,prohibition,衣類を入れすぎない,運転中に衣類が洗濯・脱水槽から飛び出して、衣類が損傷したり、洗濯機の部品の破損の原因になります。,,,,,1,,,,,,,,,,,
s107,caution,prohibition,洗濯機の下に手や足などを入れない,回転部などに触れるとけがの原因になります。防振かさ上げ台などを使用すると、床面とのすき間が大きくなるのでご注意ください。,,,,,1,,,,,,,,,,,
s108,caution,prohibition,衣類の洗濯以外に使用しない<br>業務用など家庭用以外に使用しない,本製品は家庭用の衣類用洗濯機として設計されています。業務用や衣類以外に使用すると、故障の原因になります。,,,,,1,,,,,,,,,,,
s109,caution,prohibition,キャスター付きの台など不安定な場所に据え付けない<br>高いところに据え付けない,脱水時の振動で、転倒・落下・移動し、けがや周囲の家財の破損の原因になります。,,,,,1,1,,,,,,,,1,「据え付けについて」を冒頭に記載,
s110,caution,execution,確実に排水できる場所に据え付ける,水もれにより、周囲の家財の汚損や、火災・感電の原因になります。,,,,,1,,,,,,,,,,,
s111,caution,execution,給水ホースは確実に接続する<br>運転前に、水栓を開けて、給水ホースの接続部から水がもれていないことを確認する,ねじなどがゆるんでいないか確認してください。ホースが外れると、水もれや事故の原因になります。,,,,,1,,,,,,,,,,,
s112,caution,execution,運転後は水栓を閉じる,水もれの原因になります。,,,,,1,,,,,,,,,,,
